País,Ano,Volume Litro,Valor,PIB
Grécia,2020,61181,219292.0,191362985554.861
Hong Kong,2020,311,2776.0,344943149590.058
Hungria,2020,5254,25250.0,157288955508.176
Israel,2020,38239,224349.0,411728563086.632
Itália,2020,9659999,32477890.0,1907481094079.23
Líbano,2020,12384,45908.0,31712128253.7961
Marrocos,2020,2160,8326.0,121353645057.144
México,2020,33,181.0,1121064767261.88
Moldávia,2020,5832,8965.0,11530746234.4492
Nova Zelândia,2020,15372,89763.0,212697530897.56
Países Baixos,2020,2285,22990.0,932560861701.17
Porto Rico,2020,54,1090.0,103130900000.0
Portugal,2020,23627260,66353572.0,229618773422.577
Reino Unido,2020,2586,22935.0,2696778386607.65
Romênia,2020,30635,70269.0,252033792712.145
Suíça,2020,735,5848.0,741999406005.627
Turquia,2020,17563,55039.0,720338490327.248
Uruguai,2020,4079076,10146829.0,53668636567.8667
África do Sul,2021,859169,2508140.0,420886877628.703
Alemanha,2021,106541,546967.0,4348297440387.53
Arábia Saudita,2021,2510,8761.0,874156000000.0
Argentina,2021,26869241,79527959.0,486564085480.036
Austrália,2021,366875,1383093.0,1556735770437.26
Áustria,2021,13427,141822.0,480467037338.783
Bermudas,2021,10,141.0,7286607000.0
Brasil,2021,12602,39816.0,1670647399034.67
Bulgária,2021,34185,105623.0,84417951260.8091
Chile,2021,69617587,182568098.0,315515014838.539
Croácia,2021,17343,78954.0,69006802298.6956
Eslovênia,2021,42944,172141.0,61529280461.092
Espanha,2021,8793911,23795616.0,1461244901852.69
Estados Unidos,2021,506405,2809649.0,23681171000000.0
França,2021,6241310,31428188.0,2966433692008.09
Geórgia,2021,19188,32901.0,18853115588.8106
Georgia,2021,1838,2915.0,
Grécia,2021,13619,55228.0,218303801895.326
Hungria,2021,20174,160816.0,182109999477.691
Israel,2021,60281,298732.0,489708278893.053
Itália,2021,11231625,39852162.0,2179207773596.09
Líbano,2021,24194,78872.0,23131941556.7843
Marrocos,2021,986,6958.0,142022058447.231
México,2021,4,19.0,1316569466932.59
Moldávia,2021,25998,66480.0,13691869264.0794
Nova Zelândia,2021,21995,137547.0,253644079784.977
Portugal,2021,25925363,75668823.0,256055879091.139
Reino Unido,2021,1164,9357.0,3143323050707.26
Romênia,2021,33770,99562.0,286578196368.297
Rússia,2021,32179,64905.0,1843392293734.38
San Marino,2021,1095,2237.0,1855395999.76534
Sérvia,2021,3471,8302.0,66159884072.5308
Síria,2021,484,1280.0,
Suíça,2021,7,157.0,813408787222.499
República Tcheca,2021,225,5528.0,290972714482.313
Uruguai,2021,3788831,10063341.0,60760798595.5436
África do Sul,2022,738116,2266827.0,406920004594.074
Alemanha,2022,92600,438595.0,4163596357879.39
Argentina,2022,27980574,87519642.0,632790070063.124
Armênia,2022,2385,13668.0,19513506553.1251
Austrália,2022,579279,1590059.0,1690858246994.43
Áustria,2022,7403,53974.0,471773629830.381
Bermudas,2022,1,4.0,7827980000.0
Brasil,2022,1,5.0,1951923942083.32
Bulgária,2022,29929,43221.0,90642851835.8996
Canadá,2022,884,11607.0,2161483369422.01
Chile,2022,68881232,184335335.0,302116539409.03
Croácia,2022,887,35563.0,71198635101.9514
Eslovênia,2022,31509,127726.0,59927702746.2843
Espanha,2022,6487047,17187749.0,1446498147749.03
Estados Unidos,2022,393211,3023220.0,26006893000000.0
França,2022,4911903,25955232.0,2796302210398.84
Geórgia,2022,12506,26983.0,24984568959.605
Georgia,2022,1788,2797.0,
Grécia,2022,45440,148515.0,218880566444.349
Hungria,2022,29260,160168.0,177006128624.627
Israel,2022,19589,82489.0,525000415276.678
Itália,2022,9622119,33330465.0,2102995942720.44
Líbano,2022,30149,182548.0,20992421948.8081
Marrocos,2022,13932,46497.0,130951926351.241
Moldávia,2022,38336,70282.0,14510490660.2516
Nova Zelândia,2022,52265,403597.0,246733522841.353
Peru,2022,17861,84084.0,246488757636.211
Portugal,2022,24108787,64795326.0,256898675068.927
Reino Unido,2022,1655,19595.0,3114042471144.39
Romênia,2022,47715,99616.0,296354358293.475
Síria,2022,1094,5187.0,
República Tcheca,2022,4950,12044.0,301831228325.556
Turquia,2022,22087,38817.0,907118434653.505
Uruguai,2022,3394161,9867675.0,70164683290.3776
África do Sul,2023,522733,1732850.0,380699271814.508
Alemanha,2023,102456,557947.0,4525703903627.53
Arábia Saudita,2023,8,161.0,1067582933333.33
Argentina,2023,25276991,83918138.0,646075277525.125
Armênia,2023,3542,24336.0,24085749592.3359
Austrália,2023,432829,1568550.0,1728057316695.61
Áustria,2023,16832,145475.0,511685203845.001
Bermudas,2023,6,879.0,8141700000.0
Bolívia,2023,1170,10920.0,45135398008.8166
Brasil,2023,6229,76894.0,2173665655937.27
Bulgária,2023,40281,95232.0,102407653020.606
Canadá,2023,14,1062.0,2142470914401.36
Chile,2023,62358765,170146247.0,335533331669.219
Croácia,2023,1107,9160.0,84393795502.4421
Cuba,2023,8,261.0,
Eslovênia,2023,28806,124283.0,69148468417.3208
Espanha,2023,6591628,20097228.0,1620090734956.89
Estados Unidos,2023,244276,1775713.0,27720709000000.0
França,2023,4899631,30421272.0,3051831611384.76
Geórgia,2023,17173,29084.0,30777833585.4441
Grécia,2023,45889,147724.0,243498333237.802
Hungria,2023,41905,316481.0,212388906458.724
Israel,2023,48772,259405.0,513611100815.691
Itália,2023,8868133,34760596.0,2300941152991.81
Japão,2023,86,3427.0,4204494802431.55
Líbano,2023,14328,106610.0,
Macedônia,2023,8522,17172.0,
Marrocos,2023,603,2349.0,144417103249.646
Montenegro,2023,51189,138741.0,7530593375.22034
Nova Zelândia,2023,28665,254138.0,252175506110.168
Países Baixos,2023,9,354.0,1154361305398.06
Peru,2023,12276,58862.0,267603248655.253
Porto Rico,2023,2021,4481.0,117902300000.0
Portugal,2023,25099409,71970948.0,289114289663.542
Reino Unido,2023,1808,32757.0,3380854520809.54
Romênia,2023,36775,98835.0,350775856415.189
Eswatini,2023,320,6968.0,4442875788.08505
Suíça,2023,2109,101111.0,884940402230.409
Uruguai,2023,2905567,9276001.0,77240830877.4597
